138.246.253.5 - - [24/Jun/2018:04:22:17 +0800] "HEAD / HTTP/1.1" 200 -
107.170.228.240 - - [24/Jun/2018:06:32:57 +0800] "GET / HTTP/1.1" 200 11418
150.255.11.6 - - [24/Jun/2018:08:28:58 +0800] "GET / HTTP/1.0" 200 11398
114.233.101.112 - - [24/Jun/2018:11:08:05 +0800] "GET / HTTP/1.1" 200 11418
218.76.65.107 - - [24/Jun/2018:12:04:56 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 304 -
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/pic/phb.png HTTP/1.1" 200 4588
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/pic/top1.png HTTP/1.1" 200 65456
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/pic/top2.png HTTP/1.1" 200 69651
218.76.65.107 - - [24/Jun/2018:12:10:45 +0800] "GET /MakeYouListen/pic/top3.png HTTP/1.1" 200 65989
211.138.88.221 - - [24/Jun/2018:12:14:13 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:14:42 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/pic/phb.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/pic/top1.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/pic/top2.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/pic/top3.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:15:03 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:15:10 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:15:14 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:15:18 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
223.166.222.110 - - [24/Jun/2018:12:16:38 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 500 294912
223.166.222.110 - - [24/Jun/2018:12:16:39 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 206 1
223.166.222.110 - - [24/Jun/2018:12:16:39 +0800] "GET /MakeYouListen/pic/jd.png HTTP/1.1" 206 438518
223.166.222.110 - - [24/Jun/2018:12:16:57 +0800] "GET /MakeYouListen/pic/phb.png HTTP/1.1" 200 4588
223.166.222.110 - - [24/Jun/2018:12:16:57 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
223.166.222.110 - - [24/Jun/2018:12:16:57 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
223.166.222.110 - - [24/Jun/2018:12:16:57 +0800] "GET /MakeYouListen/pic/top1.png HTTP/1.1" 200 65456
223.166.222.110 - - [24/Jun/2018:12:16:58 +0800] "GET /MakeYouListen/pic/top2.png HTTP/1.1" 200 69651
223.166.222.110 - - [24/Jun/2018:12:16:58 +0800] "GET /MakeYouListen/pic/top3.png HTTP/1.1" 200 65989
223.166.222.110 - - [24/Jun/2018:12:17:01 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:18:38 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:18:40 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:18:43 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:18:51 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:19:08 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:19:10 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:19:16 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
117.136.24.197 - - [24/Jun/2018:12:19:27 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/dati/insert?name=&branch=&time=163 HTTP/1.1" 200 -
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/pic/phb.png HTTP/1.1" 304 -
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 682
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 682
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/pic/top1.png HTTP/1.1" 304 -
211.138.88.221 - - [24/Jun/2018:12:19:29 +0800] "GET /MakeYouListen/pic/top2.png HTTP/1.1" 304 -
211.138.88.221 - - [24/Jun/2018:12:19:30 +0800] "GET /MakeYouListen/pic/top3.png HTTP/1.1" 304 -
117.136.24.197 - - [24/Jun/2018:12:19:30 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 682
117.136.24.197 - - [24/Jun/2018:12:19:42 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 682
117.136.24.197 - - [24/Jun/2018:12:19:45 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 682
117.136.24.197 - - [24/Jun/2018:12:20:56 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
106.19.183.1 - - [24/Jun/2018:12:23:16 +0800] "GET / HTTP/1.1" 200 11418
106.19.183.1 - - [24/Jun/2018:12:23:16 +0800] "GET /MovieWithYou/wx.getRoomList?condition= HTTP/1.1" 200 518
106.19.183.1 - - [24/Jun/2018:12:23:18 +0800] "GET /MovieWithYou/wx.getDreamList HTTP/1.1" 200 532
106.19.183.1 - - [24/Jun/2018:12:23:23 +0800] "GET /MovieWithYou/wx.getRoomList HTTP/1.1" 200 518
106.19.183.1 - - [24/Jun/2018:12:23:24 +0800] "GET /MovieWithYou/wx.joinRoom?roomId=1&roomPeoNum=2&roomCapacity=4 HTTP/1.1" 200 -
106.19.183.1 - - [24/Jun/2018:12:23:26 +0800] "GET /MovieWithYou/movieList/2/%E5%8E%89%E5%AE%B3%E4%BA%86%E6%88%91%E7%9A%84%E5%9B%BD_%E9%AB%98%E6%B8%85.mp4 HTTP/1.1" 500 466944
106.19.183.1 - - [24/Jun/2018:12:23:27 +0800] "GET /MovieWithYou/wx.refreshRoomInfo?roomId=1 HTTP/1.1" 200 139
106.19.183.1 - - [24/Jun/2018:12:23:28 +0800] "GET /MovieWithYou/movieList/2/%E5%8E%89%E5%AE%B3%E4%BA%86%E6%88%91%E7%9A%84%E5%9B%BD_%E9%AB%98%E6%B8%85.mp4 HTTP/1.1" 206 330080
106.19.183.1 - - [24/Jun/2018:12:23:28 +0800] "GET /MovieWithYou/wx.quitRoom?roomId=1 HTTP/1.1" 200 -
106.19.183.1 - - [24/Jun/2018:12:23:29 +0800] "GET /MovieWithYou/wx.refreshRoomInfo?roomId=1 HTTP/1.1" 200 139
106.19.183.1 - - [24/Jun/2018:12:23:31 +0800] "GET /MovieWithYou/wx.refreshRoomInfo?roomId=1 HTTP/1.1" 200 139
106.19.183.1 - - [24/Jun/2018:12:23:33 +0800] "GET /MovieWithYou/wx.refreshRoomInfo?roomId=1 HTTP/1.1" 200 139
106.19.183.1 - - [24/Jun/2018:12:23:35 +0800] "GET /MovieWithYou/wx.refreshRoomInfo?roomId=1 HTTP/1.1" 200 139
117.136.24.197 - - [24/Jun/2018:12:31:37 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
218.76.65.107 - - [24/Jun/2018:12:34:31 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
218.76.65.107 - - [24/Jun/2018:12:34:31 +0800] "GET /MakeYouListen/dati/show HTTP/1.1" 200 647
220.170.69.21 - - [24/Jun/2018:13:03:19 +0800] "GET /MakeYouListen/pic/1.png HTTP/1.1" 404 997
220.170.69.21 - - [24/Jun/2018:13:03:20 +0800] "GET /MakeYouListen/lovewall/showAllLove HTTP/1.1" 200 32937
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/love.jpg HTTP/1.1" 200 140500
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/ffe6b637-d107-49c8-b6a0-4ffa2e1561c7.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/af11ec86-015c-47ab-a829-90b60bea97ed.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/9eb225c1-2211-4b0d-ad4a-7948deec2402.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/ce8866db-b02f-4cf7-a0a2-b83768172004.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/874c0007-8bf6-41f9-a1a7-819b385e7442.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/53b80d55-04be-4081-b22f-90f9781bc172.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/6913fd33-a2b8-4668-a75a-20a164f9b918.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/707e1420-b2f7-4757-bd6a-3e457075d0d6.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/a250d986-698a-4b20-8f8e-4dc7fe12f6d9.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/24e47b2c-7c40-4818-a5b6-b4d8b51a11b9.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/3e88455b-93dc-415b-b9c6-09fb46a6a64b.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/70520d6a-fade-42d0-9206-6417d52fc4a8.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/70e428c5-e343-4550-b264-71f68d2041e8.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/da60ae4d-c8fd-401c-b8a6-50c4def55254.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/000c05dd-e84d-4434-847f-b3d44d261e6c.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/540c7cfd-9c3d-4328-aa7f-58a7a57c8045.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/882a07bf-71fd-4e57-9554-a7a42be9c1f0.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/e26d1e63-2b09-4034-abcd-855bd7c4467a.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/24751c37-a8ee-41e3-b2b4-5a6967b243ff.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/e6fbce96-f443-422c-a2fd-baa396a75f67.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:21 +0800] "GET /MakeYouListen/pic/b29afcfd-9af8-4b0f-9d7e-58b5768feaee.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/80f92821-d6b6-46e2-a1a9-43d4e5e2e77a.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/ba8c5a4d-d1ae-46ba-8031-3cf212ca580d.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/f7b9701c-af04-4938-9f98-27071298c929.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/9e493805-3b1b-4cc2-9110-8388dbf7ae9e.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/854dae78-5f9f-410e-a86c-b9b7ec55b4e2.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/b37cff18-c818-42c3-90d6-2f8142f1936e.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/932a58b6-b1db-4f57-943f-cb8062b0ab8d.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/37d0abc1-fd8f-4ac7-baf5-2deaaba03280.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/897bcf82-6427-4c28-9079-71089b1b39fa.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/b8c9570e-9ae8-4c05-ae70-2b2e091b6fda.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/f78359ee-febd-46a5-a60c-65bd0233a9a3.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/546141d0-9e10-4f77-be82-6c8c0be30512.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/f3010f6a-bf49-4f71-beb3-1e592cafbfeb.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/d42103d9-ea3a-4371-bf00-392eba214272.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/0f949b87-735f-4916-b904-98cde1f8d062.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/b30bdd07-0363-491b-aa8b-ee58b46e72db.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/a2f45a04-f245-4b91-994d-099d81b08d17.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/c9d5da76-fb61-4eeb-bd92-e95e1f7d43c6.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/092eb83f-778c-4960-963e-1b076311eb73.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/7981f62c-9826-48e8-8863-dc850fb394db.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/1bf32bf8-f2d6-4262-892b-a2ca991578fd.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/e14eb16a-4607-40df-a09a-d0105302b688.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/232a7fc1-853d-4df4-aa74-b40b8ee2b7d7.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/3af25c7d-f2b2-40e4-8371-7f11a39046b8.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/f55606e7-7e50-44bb-a176-6a004a972396.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/314991fb-6372-49e9-a388-12375672f243.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/9380a7a8-823a-49ac-8d6b-5ed1f666c8e3.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:22 +0800] "GET /MakeYouListen/pic/fc8dd6a9-f447-43e1-986a-093eaa3c7607.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/0b364f1a-b5e6-4645-82e5-393fb88ffb67.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/36b044c7-26a1-4ced-a66f-524335c6bc5e.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/d541e7ce-fb45-4e8c-ae30-f55481f59386.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/c310e50b-8296-4813-b0e5-5fdd0e43b273.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/27175185-5dc2-4e8e-a7d7-6ae3775ac990.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/bacb6a23-7adc-4d2a-baae-f850663422de.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/93ed29f6-c5b7-4a36-9f61-b3a4c883ed91.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/50187fb1-9dbc-4b52-ba4b-f2b893313ed8.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/45b817a0-d294-4760-9a90-f65fc76b8a8c.png HTTP/1.1" 404 1067
220.170.69.21 - - [24/Jun/2018:13:03:23 +0800] "GET /MakeYouListen/pic/e348766a-bfe4-4d2d-a11d-a3f110cddbe2.png HTTP/1.1" 404 1067
